0,0; 14,0; 100,0; 10353,50; 87456,9; 81,98
0,0; 13,1; 100,0; 11342,08; 95807,5; 89,80
0,0; 12,0; 100,0; 11861,22; 100192,8; 93,94
0,0; 11,0; 100,0; 12116,81; 102351,8; 95,93
0,0; 10,0; 100,0; 12294,49; 103852,6; 97,34
0,0; 9,0; 100,0; 12390,16; 104660,8; 98,11
0,0; 8,0; 100,0; 12459,73; 105248,5; 98,66
0,0; 7,0; 100,0; 12516,93; 105731,7; 99,08
0,0; 6,1; 100,0; 12554,70; 106050,7; 99,41
0,0; 5,0; 100,0; 12571,41; 106191,8; 99,56
0,0; 4,0; 100,0; 12606,17; 106485,5; 99,79
0,0; 3,1; 100,0; 12612,21; 106536,5; 99,89
0,0; 2,0; 100,0; 12646,70; 106827,8; 100,14
0,0; 1,0; 100,0; 12633,67; 106717,7; 100,01
0,0; 0,0; 100,0; 12629,50; 106682,5; 100,00
0,0; -1,0; 100,0; 12624,95; 106644,1; 99,99
0,0; -2,0; 100,0; 12628,40; 106673,2; 99,97
0,0; -2,9; 100,0; 12622,67; 106624,9; 99,95
0,0; -3,9; 100,0; 12567,55; 106159,3; 99,56
0,0; -4,9; 100,0; 12556,29; 106064,1; 99,43
0,0; -6,0; 100,0; 12527,29; 105819,1; 99,19
0,0; -6,9; 100,0; 12462,81; 105274,5; 98,74
0,0; -8,0; 100,0; 12408,76; 104817,9; 98,30
0,0; -9,0; 100,0; 12325,93; 104118,3; 97,70
0,0; -10,0; 100,0; 12213,94; 103172,2; 96,81
0,0; -11,0; 100,0; 12053,01; 101812,9; 95,44
0,0; -11,9; 100,0; 11786,93; 99565,2; 93,41
0,0; -12,9; 100,0; 11230,69; 94866,6; 89,00
0,0; -14,0; 100,0; 9614,77; 81216,8; 76,15
0,0; -14,9; 100,0; 6808,77; 57514,3; 53,93
0,0; -15,9; 100,0; 3724,47; 31460,9; 29,52
0,0; -17,0; 100,0; 2086,08; 17621,3; 16,54
0,0; -17,9; 100,0; 1379,30; 11651,1; 10,93
0,0; -18,9; 100,0; 1019,57; 8612,4; 8,08
0,0; -20,0; 100,0; 815,68; 6890,1; 6,46
0,0; -21,0; 100,0; 685,50; 5790,5; 5,43
0,0; -21,9; 100,0; 606,10; 5119,7; 4,80
0,0; -23,0; 100,0; 537,04; 4536,4; 4,25
0,0; -24,0; 100,0; 489,28; 4133,0; 3,88
0,0; -24,9; 100,0; 453,59; 3831,5; 3,59
0,0; -26,0; 100,0; 413,88; 3496,1; 3,28
0,0; -26,9; 100,0; 395,23; 3338,6; 3,13
0,0; -27,9; 100,0; 369,53; 3121,5; 2,93
0,0; -29,0; 100,0; 342,38; 2892,1; 2,71
0,0; -30,0; 100,0; 321,71; 2717,5; 2,55


Measurement time:; 27/05/2023 11:26:24
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 30 x 30 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 250,0; 4567,21; 38579,7; 20,09
0,0; 0,0; 245,1; 4715,48; 39832,1; 20,73
0,0; 0,0; 240,0; 4871,62; 41151,0; 21,42
0,0; 0,0; 235,1; 5022,58; 42426,2; 22,09
0,0; 0,0; 230,0; 5205,61; 43972,3; 22,90
0,0; 0,0; 225,1; 5369,54; 45357,0; 23,63
0,0; 0,0; 220,1; 5552,18; 46899,8; 24,41
0,0; 0,0; 215,0; 5742,70; 48509,1; 25,26
0,0; 0,0; 210,0; 5917,15; 49982,7; 26,03
0,0; 0,0; 205,1; 6128,30; 51766,3; 26,97
0,0; 0,0; 200,0; 6333,85; 53502,6; 27,86
0,0; 0,0; 195,0; 6558,37; 55399,1; 28,85
0,0; 0,0; 190,1; 6772,90; 57211,3; 29,79
0,0; 0,0; 185,1; 6988,05; 59028,7; 30,74
0,0; 0,0; 180,1; 7244,52; 61195,1; 31,88
0,0; 0,0; 175,1; 7486,14; 63236,1; 32,95
0,0; 0,0; 170,1; 7755,56; 65511,9; 34,12
0,0; 0,0; 165,1; 8025,91; 67795,6; 35,32
0,0; 0,0; 160,1; 8286,23; 69994,5; 36,45
0,0; 0,0; 155,1; 8593,54; 72590,4; 37,81
0,0; 0,0; 150,1; 8882,50; 75031,3; 39,09
0,0; 0,0; 145,1; 9204,44; 77750,7; 40,48
0,0; 0,0; 140,0; 9535,39; 80546,3; 41,94
0,0; 0,0; 135,1; 9853,46; 83233,1; 43,36
0,0; 0,0; 130,1; 10211,16; 86254,6; 44,94
0,0; 0,0; 125,1; 10586,27; 89423,1; 46,60
0,0; 0,0; 120,1; 10949,35; 92490,1; 48,17
0,0; 0,0; 115,0; 11356,22; 95927,0; 50,00
0,0; 0,0; 110,1; 11741,90; 99184,9; 51,69
0,0; 0,0; 105,1; 12192,92; 102994,7; 53,64
0,0; 0,0; 100,1; 12612,01; 106534,8; 55,49
0,0; 0,0; 95,1; 13091,22; 110582,7; 57,60
0,0; 0,0; 90,1; 13565,62; 114590,0; 59,67
0,0; 0,0; 85,0; 14047,46; 118660,1; 61,85
0,0; 0,0; 80,1; 14550,88; 122912,6; 64,08
0,0; 0,0; 75,0; 15091,33; 127477,8; 66,48
0,0; 0,0; 70,0; 15661,39; 132293,2; 68,96
0,0; 0,0; 65,0; 16237,96; 137163,5; 71,44
0,0; 0,0; 60,0; 16803,42; 141940,0; 74,00
0,0; 0,0; 55,0; 17442,05; 147334,6; 76,79
0,0; 0,0; 49,9; 18075,36; 152684,2; 79,63
0,0; 0,0; 45,0; 18757,13; 158443,2; 82,60
0,0; 0,0; 39,9; 19416,32; 164011,4; 85,48
0,0; 0,0; 34,9; 20103,26; 169814,0; 88,54
0,0; 0,0; 29,9; 20816,95; 175842,7; 91,64
0,0; 0,0; 25,1; 21448,91; 181180,9; 94,48
0,0; 0,0; 24,1; 21643,68; 182826,1; 95,34
0,0; 0,0; 23,1; 21732,07; 183572,7; 95,72
0,0; 0,0; 22,1; 21865,00; 184695,6; 96,36
0,0; 0,0; 21,1; 22047,36; 186236,0; 97,09
0,0; 0,0; 20,1; 22156,32; 187156,4; 97,55
0,0; 0,0; 19,0; 22303,18; 188396,9; 98,23
0,0; 0,0; 18,0; 22390,39; 189133,7; 98,66
0,0; 0,0; 17,1; 22490,58; 189979,9; 99,00
0,0; 0,0; 16,0; 22538,07; 190381,1; 99,28
0,0; 0,0; 15,0; 22649,64; 191323,5; 99,81
0,0; 0,0; 14,1; 22713,77; 191865,3; 100,00
0,0; 0,0; 13,1; 22691,80; 191679,7; 99,98
0,0; 0,0; 12,0; 22634,23; 191193,3; 99,74
0,0; 0,0; 11,0; 22557,90; 190548,6; 99,40
0,0; 0,0; 10,0; 22409,04; 189291,2; 98,67
0,0; 0,0; 9,0; 22171,32; 187283,1; 97,68
0,0; 0,0; 8,0; 21896,91; 184965,2; 96,44
0,0; 0,0; 7,0; 21402,12; 180785,7; 94,30
0,0; 0,0; 6,0; 20783,24; 175557,9; 91,58
0,0; 0,0; 5,0; 19881,38; 167939,8; 87,56
0,0; 0,0; 4,0; 18719,77; 158127,5; 82,46
0,0; 0,0; 3,0; 17014,90; 143726,4; 74,95
0,0; 0,0; 2,0; 14549,96; 122904,8; 64,13
0,0; 0,0; 1,0; 12711,14; 107372,1; 56,01
0,0; 0,0; 0,0; 12766,32; 107838,3; 56,28
0,0; 0,0; -0,5; 12697,36; 107255,7; 55,93


