Measurement time:; 07/09/2022 19:11:32;;;;
Radiation device:; Clinac3 Accelerator;;;;
Energy:; 12 MeV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; ROOS;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 60 x 60 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;46,8;69,05;382924,4;63,9
0;0;45,6;78,28;434151,8;69,11
0;0;44,4;77,46;429580,3;73,53
0;0;43,2;85,19;472455;77,77
0;0;42;93,52;518640,4;81,89
0;0;40,8;91;504673,8;85,39
0;0;39,6;98,64;547063,2;88,58
0;0;38,4;105,57;585504,8;90,95
0;0;37,2;99,56;552150,3;93,52
0;0;36;106,98;593323,2;95,2
0;0;34,8;112,09;621649,3;96,64
0;0;33,6;105,94;587551,4;98,03
0;0;32,4;112,31;622849;98,84
0;0;31,1;116,74;647426;99,3
0;0;29,9;108,54;601945,6;99,7
0;0;28,7;114,44;634665,4;99,83
0;0;27,5;117,23;650143,1;100
0;0;26,3;110,77;614315,5;99,81
0;0;25,1;113,84;631357,2;99,64
0;0;23,9;112,6;624471,2;99,39
0;0;22,7;110,57;613230,8;98,68
0;0;21,5;113,22;627898,2;98,48
0;0;20,3;116,7;647214,6;98,01
0;0;19,1;109,58;607724,2;97,45
0;0;17,9;112,59;624388,1;97,05
0;0;16,7;115,73;641838;96,39
0;0;15,5;108,38;601050,2;96,07
0;0;14,3;111,88;620487;95,51
0;0;13,1;114,39;634386,5;94,96
0;0;11,9;107,34;595280,2;94,52
0;0;10,7;110,34;611920,8;94,25
0;0;9,5;112,24;622472,4;93,61
0;0;8,3;105,65;585933;93,3
0;0;7;107,69;597254,2;92,64
