0,0; 1,9; 100,0; 81,11; 60881,5; 81,03
0,0; 2,0; 100,0; 78,73; 59099,2; 78,58
0,0; 2,1; 100,0; 75,72; 56838,9; 75,60
0,0; 2,3; 100,0; 71,81; 53901,7; 71,74
0,0; 2,3; 100,0; 70,43; 52868,7; 70,32
0,0; 2,6; 100,0; 64,33; 48291,2; 64,16
0,0; 2,5; 100,0; 64,87; 48692,7; 64,77
0,0; 2,7; 100,0; 60,22; 45202,4; 60,14
0,0; 2,8; 100,0; 54,95; 41246,8; 54,84
0,0; 2,8; 100,0; 54,56; 40956,4; 54,50
0,0; 3,1; 100,0; 45,50; 34152,5; 45,43
0,0; 3,1; 100,0; 45,81; 34387,9; 45,75
0,0; 3,2; 100,0; 43,22; 32443,9; 43,19
0,0; 3,2; 100,0; 40,64; 30503,6; 40,59
0,0; 3,4; 100,0; 34,97; 26246,5; 34,91
0,0; 3,4; 100,0; 35,22; 26433,8; 35,20
0,0; 3,5; 100,0; 32,35; 24284,4; 32,31
0,0; 3,7; 100,0; 28,20; 21170,6; 28,17
0,0; 3,8; 100,0; 25,89; 19434,0; 25,85
0,0; 3,8; 100,0; 24,52; 18402,1; 24,49
0,0; 4,0; 100,0; 20,60; 15464,7; 20,58
0,0; 4,1; 100,0; 20,30; 15236,8; 20,29
0,0; 4,2; 100,0; 17,90; 13439,9; 17,89
0,0; 4,2; 100,0; 16,71; 12543,5; 16,67
0,0; 4,3; 100,0; 15,19; 11401,8; 15,16
0,0; 4,5; 100,0; 13,41; 10067,8; 13,40
0,0; 4,5; 100,0; 12,43; 9333,8; 12,42
0,0; 4,7; 100,0; 11,29; 8478,3; 11,28
0,0; 4,8; 100,0; 10,36; 7775,6; 10,35
0,0; 4,9; 100,0; 9,12; 6848,0; 9,11
0,0; 4,9; 100,0; 8,90; 6680,3; 8,89
0,0; 5,1; 100,0; 8,35; 6271,5; 8,33
0,0; 5,1; 100,0; 7,51; 5633,8; 7,50
0,0; 5,3; 100,0; 6,57; 4928,8; 6,57
0,0; 5,4; 100,0; 6,51; 4885,9; 6,50
0,0; 5,5; 100,0; 6,07; 4557,2; 6,06
0,0; 5,5; 100,0; 5,69; 4270,0; 5,68
0,0; 5,7; 100,0; 5,22; 3920,7; 5,22
0,0; 5,7; 100,0; 5,01; 3761,7; 5,00
0,0; 5,9; 100,0; 4,54; 3406,3; 4,53
0,0; 5,9; 100,0; 4,47; 3353,6; 4,46
0,0; 6,1; 100,0; 4,08; 3060,1; 4,07
0,0; 6,2; 100,0; 3,87; 2905,9; 3,87
0,0; 6,2; 100,0; 3,65; 2741,6; 3,65
0,0; 6,4; 100,0; 3,41; 2558,2; 3,41
0,0; 6,4; 100,0; 3,34; 2510,8; 3,34
0,0; 6,6; 100,0; 3,14; 2354,8; 3,13
0,0; 6,7; 100,0; 2,98; 2233,6; 2,97
0,0; 6,8; 100,0; 2,83; 2121,4; 2,82
0,0; 6,9; 100,0; 2,74; 2056,6; 2,73
0,0; 7,0; 100,0; 2,58; 1940,2; 2,58
0,0; 7,1; 100,0; 2,44; 1834,6; 2,44
0,0; 7,1; 100,0; 2,39; 1795,3; 2,39
0,0; 7,3; 100,0; 2,19; 1644,8; 2,19
0,0; 7,3; 100,0; 2,15; 1617,2; 2,15
0,0; 7,5; 100,0; 2,07; 1555,2; 2,07
0,0; 7,6; 100,0; 2,00; 1502,9; 2,00
0,0; 7,7; 100,0; 1,94; 1459,3; 1,94
0,0; 7,8; 100,0; 1,83; 1374,6; 1,83
0,0; 7,8; 100,0; 1,81; 1356,2; 1,80
0,0; 8,0; 100,0; 1,70; 1278,1; 1,70
0,0; 8,0; 100,0; 1,66; 1245,8; 1,66
0,0; 8,2; 100,0; 1,61; 1208,5; 1,60
0,0; 8,2; 100,0; 1,58; 1186,1; 1,58
0,0; 8,4; 100,0; 1,49; 1114,7; 1,48
0,0; 8,4; 100,0; 1,47; 1100,4; 1,46
0,0; 8,5; 100,0; 1,43; 1074,6; 1,43
0,0; 8,7; 100,0; 1,40; 1050,6; 1,40
0,0; 8,7; 100,0; 1,36; 1023,1; 1,36
0,0; 8,9; 100,0; 1,30; 977,4; 1,30
0,0; 9,0; 100,0; 1,28; 960,1; 1,28


Measurement time:; 14/05/2024 20:49:21
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-9,0; 0,0; 100,0; 1,13; 846,7; 1,13
-8,9; 0,0; 100,0; 1,15; 863,3; 1,15
-8,8; 0,0; 100,0; 1,20; 899,5; 1,20
-8,7; 0,0; 100,0; 1,23; 926,2; 1,23
-8,6; 0,0; 100,0; 1,25; 941,5; 1,25
-8,5; 0,0; 100,0; 1,28; 958,5; 1,28
-8,4; 0,0; 100,0; 1,33; 995,4; 1,32
-8,3; 0,0; 100,0; 1,37; 1029,4; 1,37
-8,2; 0,0; 100,0; 1,41; 1057,1; 1,41
-8,1; 0,0; 100,0; 1,43; 1071,5; 1,43
-8,0; 0,0; 100,0; 1,46; 1096,0; 1,46
-7,9; 0,0; 100,0; 1,49; 1121,5; 1,49
-7,8; 0,0; 100,0; 1,57; 1179,8; 1,57
-7,7; 0,0; 100,0; 1,60; 1204,4; 1,60
-7,6; 0,0; 100,0; 1,66; 1249,5; 1,66
-7,5; 0,0; 100,0; 1,73; 1298,8; 1,73
-7,4; 0,0; 100,0; 1,79; 1342,0; 1,79
-7,3; 0,0; 100,0; 1,85; 1390,3; 1,85
-7,2; 0,0; 100,0; 1,92; 1444,2; 1,92
-7,1; 0,0; 100,0; 1,99; 1495,1; 1,99
-7,0; 0,0; 100,0; 2,07; 1555,1; 2,07
-6,9; 0,0; 100,0; 2,15; 1611,5; 2,14
-6,9; 0,0; 100,0; 2,21; 1657,8; 2,20
-6,7; 0,0; 100,0; 2,32; 1744,3; 2,32
-6,6; 0,0; 100,0; 2,44; 1828,7; 2,43
-6,5; 0,0; 100,0; 2,53; 1900,1; 2,53
-6,5; 0,0; 100,0; 2,64; 1982,4; 2,64
-6,4; 0,0; 100,0; 2,74; 2059,2; 2,74
-6,3; 0,0; 100,0; 2,90; 2174,8; 2,89
-6,2; 0,0; 100,0; 3,05; 2286,1; 3,04
-6,0; 0,0; 100,0; 3,18; 2388,4; 3,18
-6,0; 0,0; 100,0; 3,34; 2508,0; 3,34
-5,9; 0,0; 100,0; 3,49; 2620,4; 3,49
-5,7; 0,0; 100,0; 3,75; 2815,1; 3,75
-5,7; 0,0; 100,0; 3,87; 2903,5; 3,87
-5,5; 0,0; 100,0; 4,07; 3051,4; 4,06
-5,5; 0,0; 100,0; 4,29; 3222,9; 4,29
-5,3; 0,0; 100,0; 4,57; 3428,3; 4,57
-5,3; 0,0; 100,0; 4,86; 3649,4; 4,86
-5,2; 0,0; 100,0; 5,17; 3882,5; 5,17
-5,0; 0,0; 100,0; 5,61; 4207,8; 5,60
-4,9; 0,0; 100,0; 5,92; 4444,5; 5,91
-4,8; 0,0; 100,0; 6,38; 4786,5; 6,36
-4,7; 0,0; 100,0; 6,77; 5083,2; 6,76
-4,6; 0,0; 100,0; 7,33; 5499,2; 7,31
-4,5; 0,0; 100,0; 7,81; 5862,2; 7,80
-4,4; 0,0; 100,0; 8,40; 6306,9; 8,39
-4,4; 0,0; 100,0; 8,96; 6728,6; 8,95
-4,3; 0,0; 100,0; 9,73; 7306,0; 9,72
-4,2; 0,0; 100,0; 10,58; 7938,2; 10,57
-4,0; 0,0; 100,0; 11,73; 8804,8; 11,70
-4,0; 0,0; 100,0; 12,63; 9477,6; 12,61
-3,9; 0,0; 100,0; 13,76; 10329,4; 13,75
-3,8; 0,0; 100,0; 14,94; 11218,1; 14,93
-3,7; 0,0; 100,0; 16,55; 12421,0; 16,55
-3,6; 0,0; 100,0; 17,97; 13487,5; 17,96
-3,5; 0,0; 100,0; 19,74; 14815,3; 19,71
-3,3; 0,0; 100,0; 22,06; 16560,2; 22,05
-3,3; 0,0; 100,0; 23,67; 17768,4; 23,65
-3,1; 0,0; 100,0; 28,31; 21246,8; 28,26
-3,0; 0,0; 100,0; 30,03; 22544,5; 29,99
-2,9; 0,0; 100,0; 31,67; 23772,1; 31,66
-2,9; 0,0; 100,0; 34,23; 25690,8; 34,18
