Measurement time:; 02/08/2022 19:51:44;;;;;
Radiation device:; Novalis TB Accelerator;;;;;
Energy:; 6 MV ;;;;;
Controller:; CCU;;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;
Field detector:; CC 13 -  F;;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;
SAD:; 1000 mm;;;;;
SSD:; 900 mm;;;;;
Field size:; 100 x 100 mm;;;;;
Gantry angle:;0;;;;;
Measurement medium:; Water;;;;;
Scan type:; Beam;;;;;
Scan mode:; Continuous;;;;;
Wedge:; none;;;;;
;;;;;;
Points [mm]:;;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;Dose relative (%)
0;0;245,1;44,24;64222,7;30,96;30,98690201
0;0;243,9;44,38;64435;31,08;31,08496183
0;0;242,7;44,78;65017,8;31,31;31,36513273
0;0;241,5;44,96;65272,5;31,46;31,49120964
0;0;240,3;45,31;65773,6;31,67;31,73635918
0;0;239,1;45,67;66306,2;31,98;31,98851299
0;0;237,9;45,87;66591,6;32,06;32,12859845
0;0;236,7;46,04;66841;32,2;32,24767108
0;0;235,5;46,65;67728;32,63;32,67493171
0;0;234,3;46,97;68185,5;32,87;32,89906843
0;0;233,1;47,12;68411,2;32,97;33,00413252
0;0;231,8;47,49;68939,4;33,18;33,26329061
0;0;230,7;47,86;69477,8;33,53;33,52244869
0;0;229,5;48,17;69939,6;33,68;33,73958114
0;0;228,3;48,46;70355;33,87;33,94270505
0;0;227,1;48,79;70836,1;34,12;34,17384605
0;0;225,8;49,08;71247,6;34,31;34,37696995
0;0;224,7;49,4;71711,5;34,55;34,60110668
0;0;223,4;49,82;72321,9;34,86;34,89528612
0;0;222,2;50;72593,7;35,02;35,02136303
0;0;221,1;50,33;73062,2;35,2;35,25250403
0;0;219,8;50,7;73604,7;35,42;35,51166211
0;0;218,7;51,02;74068,7;35,72;35,73579884
0;0;217,4;51,47;74724,6;35,97;36,0509911
0;0;216,2;51,87;75305,9;36,22;36,33116201
0;0;215;52,11;75659;36,45;36,49926455
0;0;213,8;52,4;76076,5;36,64;36,70238846
0;0;212,6;52,73;76554,4;36,85;36,93352945
0;0;211,4;53,16;77174;37,13;37,23471318
0;0;210,2;53,51;77688;37,43;37,47986272
