Measurement time:; 04/09/2023 15:55:31;;;;;;Measurement time:; 04/09/2023 15:59:24;;;;
Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;
Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;
Controller:; CCU;;;;;;Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;;;Gantry angle:;0;;;;
Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;
Scan type:; Beam;;;;;;Scan type:; Beam;;;;
Scan mode:; Continuous;;RP avec chambre de ref;;;;Scan mode:; Continuous;;RP sans chambre de ref;;
Wedge:; none;;;;;;Wedge:; none;;;;
;;;;;;;;;;;;
Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;158,7;1057,22;118553,1;47,76;;0;0;158,7;231,6;119240,8;36,56
0;0;157,5;1065,75;119510;48,04;;0;0;157,5;233,1;120013,2;33,96
0;0;156,3;1070,96;120094,4;48,35;;0;0;156,3;234,91;120942,1;41,66
0;0;155,1;1079,48;121049,7;48,63;;0;0;155;236,2;121606;43,43
0;0;153,9;1089,61;122185,5;49,07;;0;0;153,8;238,11;122590,7;39,26
0;0;152,7;1102,41;123621,1;49,5;;0;0;152,6;239,66;123390,1;34,3
0;0;151,5;1104,94;123904,8;49,8;;0;0;151,4;240,95;124052,9;39,22
0;0;150,3;1114,26;124950;50,11;;0;0;150,2;242,2;124695,8;43,33
0;0;149,1;1117,42;125304,4;50,34;;0;0;149;243,33;125279,8;40,18
0;0;147,8;1128,4;126535,7;50,65;;0;0;147,8;245,39;126340,8;43,46
0;0;146,6;1133,75;127134,9;50,98;;0;0;146,6;247,8;127581,2;41,3
0;0;145,4;1142,13;128075,2;51,4;;0;0;145,4;249,62;128518,5;43,31
0;0;144,2;1151,07;129076,9;51,7;;0;0;144,2;251,28;129370,4;44,36
0;0;143;1158,44;129903,9;52,07;;0;0;143;252,44;129968,7;40,84
0;0;141,8;1165,99;130750,3;52,42;;0;0;141,8;254,5;131028,1;44,23
0;0;140,6;1173,09;131546,1;52,85;;0;0;140,6;256,35;131982,8;42,42
0;0;139,4;1182,45;132596,1;53,23;;0;0;139,3;258,2;132937,1;39,52
0;0;138,1;1187,27;133136,9;53,51;;0;0;138,1;258,93;133313,5;45,4
