Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;38,5;100;3585,83;218711,3;98,31;;0;0;201;2039,36;124387,1;35,63;;0;-10,9;100;2265,64;138188,4;100,15;;0;0;201;1310,23;79914,9;38,81
0;37,3;100;3599,67;219555,1;98,31;;0;0;199,8;2051,48;125126,5;35,97;;0;-9,7;100;2270,85;138506,4;100,37;;0;0;199,8;1323,32;80713,7;39,22
0;36;100;3601,7;219679,3;98,34;;0;0;198,6;2063,78;125876,6;36,12;;0;-8,6;100;2264,48;138117,6;100,2;;0;0;198,5;1328,82;81049,2;39,37
0;34,9;100;3604,59;219855,4;98,36;;0;0;197,4;2073,19;126450,2;36,38;;0;-7,3;100;2271,88;138569,2;100,38;;0;0;197,3;1335,27;81442,3;39,64
0;33,7;100;3606,78;219988,8;98,83;;0;0;196,2;2096,08;127846,5;36,65;;0;-6,1;100;2264,11;138095,4;100,28;;0;0;196,1;1347,11;82164,8;40,07
0;32,4;100;3622,81;220966,7;99,26;;0;0;195;2105,88;128444,1;36,75;;0;-4,9;100;2261,53;137938,3;100,32;;0;0;194,9;1352,85;82514,6;40,29
0;31,2;100;3625,35;221121,7;99,59;;0;0;193,7;2120,92;129361,4;37,01;;0;-3,7;100;2260,26;137860,3;100,01;;0;0;193,7;1360,92;83006,7;40,59
0;30;100;3630,78;221453,1;99,37;;0;0;192,6;2137,34;130363;37,49;;0;-2,5;100;2266,26;138226,2;100,09;;0;0;192,5;1367,03;83379,3;40,72
0;28,8;100;3639,85;222006,1;99,62;;0;0;191,3;2148,92;131069,4;37,65;;0;-1,3;100;2268,12;138339,8;100,24;;0;0;191,3;1379,86;84161,8;41,03
0;27,6;100;3640,88;222069;100,11;;0;0;190,1;2162,32;131886,6;37,9;;0;-0,1;100;2265,73;138194,2;100,02;;0;0;190,1;1393,16;84973,5;41,28
0;26,4;100;3654,36;222890,9;100,45;;0;0;188,9;2174,94;132656,4;38,08;;0;1,1;100;2261,92;137962;100,12;;0;0;188,9;1405,78;85742,8;41,69
0;25,2;100;3647,7;222484,7;100,08;;0;0;187,7;2190,74;133620;38,48;;0;2,4;100;2261,88;137959,5;99,99;;0;0;187,7;1403,07;85577,6;41,82
0;24;100;3654,99;222929,5;99,47;;0;0;186,5;2209,14;134742,8;38,84;;0;3,6;100;2262,85;138018,7;100,14;;0;0;186,5;1420,01;86611;42,27
0;22,8;100;3665,23;223553,9;99,92;;0;0;185,3;2222,02;135528,3;39,12;;0;4,8;100;2261,85;137957,7;100,21;;0;0;185,3;1424,25;86869,5;42,38
0;21,6;100;3672,19;223978,4;100,19;;0;0;184,1;2246,07;136995,1;39,45;;0;5,9;100;2263,91;138083,1;100,29;;0;0;184;1436,64;87625,3;42,64
0;20,3;100;3671,25;223921,1;100,66;;0;0;182,9;2264,28;138105,9;39,74;;0;7,2;100;2268,05;138335,9;100,27;;0;0;182,9;1450,93;88497;42,92
0;19,1;100;3670;223845,2;100,12;;0;0;181,7;2280,31;139083,7;39,83;;0;8,4;100;2259,69;137825,6;100,05;;0;0;181,7;1460,21;89062,6;43,23
0;18;100;3674,54;224121,8;100,57;;0;0;180,5;2289,35;139634,5;40,17;;0;9,6;100;2267,06;138275,3;100,42;;0;0;180,5;1466,58;89451,7;43,46
0;16,7;100;3669,39;223808;100,62;;0;0;179,3;2313,06;141081;40,54;;0;10,8;100;2266,49;138240,7;100,43;;0;0;179,2;1478,43;90174,4;43,89
0;15,5;100;3667,99;223722,7;100,7;;0;0;178;2332,13;142244,2;40,76;;0;12;100;2267,19;138283,4;100,34;;0;0;178;1488,06;90761,8;44,11
0;14,3;100;3678,65;224372,9;100,71;;0;0;176,8;2348,47;143240,9;41,1;;0;13,2;100;2266,59;138246,7;100,25;;0;0;176,8;1492,6;91038,5;44,28
0;13,1;100;3670,9;223900,2;101,06;;0;0;175,6;2364,69;144230,3;41,51;;0;14,5;100;2261,63;137944;100,25;;0;0;175,6;1508,57;92012,3;44,74
0;11,9;100;3672,93;224023,5;100,77;;0;0;174,4;2382,52;145317,4;41,77;;0;15,6;100;2262,49;137996,5;100,03;;0;0;174,4;1517,69;92568,7;45,02
0;10,7;100;3671,09;223911,7;100,65;;0;0;173,2;2408,11;146878,6;42,11;;0;16,8;100;2271;138515,8;100,22;;0;0;173,2;1524,9;93008,7;45,27
0;9,5;100;3672,57;224001,7;100,85;;0;0;172;2416,65;147399;42,31;;0;18,1;100;2267;138271,6;100,34;;0;0;172;1535,26;93640,2;45,58
0;8,2;100;3658,16;223122,8;100,62;;0;0;170,8;2427,42;148055,9;42,53;;0;19,3;100;2266,53;138242,6;100,23;;0;0;170,8;1543,83;94163,2;45,76
