;;;Crossline X6 Ouverture;;;;;;;Crossline X23 Ouverture;;;;;;;Crossline X6 Fermeture;;;;;;;Rendement X6;;;;;;;Crossline X23 Fermeture;;;;;;;rendement X23;;
Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;34,3;100;31,44;59310,1;39,34;;0;34,3;100;37,74;71198,1;39,39;;0;34,4;100;32,09;60545,4;40,08;;0;0;284,3;27,12;51164,2;21,44;;0;-34,2;100;40,97;77288,7;42,94;;0;0;284,3;45,1;85088,6;36,37
0;33;100;41,99;79223,4;52,51;;0;33,1;100;47,95;90453,5;50,75;;0;33,1;100;43,16;81419;53,72;;0;0;283,1;27,36;51619,6;21,62;;0;-33;100;52,57;99178,7;54,47;;0;0;283,1;45,35;85547,5;36,7
0;31,8;100;52,46;98965,5;65,51;;0;31,9;100;58,92;111149,8;62,51;;0;31,9;100;53,87;101621;67,04;;0;0;281,9;27,47;51817,7;21,74;;0;-31,8;100;63,51;119821,2;66,03;;0;0;281,9;45,17;85217,5;36,72
0;30,7;100;61,58;116167,9;76,64;;0;30,6;100;69,15;130453,2;72,91;;0;30,7;100;62,88;118618,1;78,32;;0;0;280,7;27,78;52411,1;21,95;;0;-30,6;100;73,39;138456,1;76,05;;0;0;280,6;44,88;84669,7;37,06
0;29,4;100;69,04;130246,6;85,9;;0;29,5;100;78,17;147476;81,07;;0;29,5;100;70,12;132276,9;87,16;;0;0;279,5;27,9;52637,6;22,05;;0;-29,4;100;79,44;149871,5;83,43;;0;0;279,5;44,79;84495,7;37,14
0;28,2;100;73,24;138168,9;91,33;;0;28,3;100;82,93;156457,1;86,31;;0;28,3;100;73,51;138672,9;91,56;;0;0;278,3;27,98;52782,4;22,1;;0;-28,2;100;82,65;155920,7;88,12;;0;0;278,2;44,77;84462,1;37,31
0;27;100;75,17;141801,9;93,99;;0;27,1;100;87,46;165001,8;89,51;;0;27,1;100;75,88;143143,1;94,53;;0;0;277,1;28,06;52940,9;22,24;;0;-26,9;100;86,16;162549,8;90,97;;0;0;277;45;84889,1;37,39
0;25,8;100;76,5;144314;95,59;;0;25,8;100;90,37;170477,3;92,21;;0;25,8;100;76,78;144849;95,96;;0;0;275,9;28,38;53535,6;22,5;;0;-25,8;100;88,36;166683,3;93,27;;0;0;275,8;45,57;85976,3;37,53
0;24,6;100;77,3;145820,2;96,53;;0;24,6;100;89,94;169671,7;93,69;;0;24,7;100;77,42;146062,7;96,46;;0;0;274,7;28,74;54210,8;22,76;;0;-24,5;100;91,39;172409,2;95,07;;0;0;274,6;46,32;87384;37,66
0;23,4;100;77,87;146903,7;97,24;;0;23,4;100;89,4;168645,7;94,77;;0;23,4;100;78,09;147317,8;97,49;;0;0;273,5;28,83;54385,9;22,83;;0;-23,3;100;92,7;174877,6;96,11;;0;0;273,4;46,7;88108,2;37,98
0;22,2;100;78,32;147749,6;98;;0;22,2;100;90,39;170528,6;95,61;;0;22,2;100;78,7;148464,2;98,01;;0;0;272,3;29,04;54792,5;22,93;;0;-22,1;100;94,01;177351,3;96,89;;0;0;272,2;46,94;88559,8;38,1
0;21;100;78,64;148351,7;98,39;;0;21;100;92,17;173870,9;96,39;;0;21;100;78,76;148574,9;98,15;;0;0;271;29,26;55193,6;23,11;;0;-20,9;100;95,17;179539,8;97,32;;0;0;271;47,77;90115;38,44
0;19,8;100;78,79;148643,4;98,56;;0;19,7;100;92,57;174635,4;97,21;;0;19,8;100;79,07;149172,5;98,53;;0;0;269,9;29,46;55584,9;23,21;;0;-19,7;100;94,55;178379,3;97,95;;0;0;269,8;48,15;90842,9;38,6
0;18,6;100;79,12;149263;98,58;;0;18,6;100;94,76;178759,9;97,89;;0;18,6;100;79,22;149442,9;99,14;;0;0;268,6;29,66;55960,2;23,44;;0;-18,5;100;94,08;177478,7;98,81;;0;0;268,6;46,9;88474,4;38,75
0;17,4;100;79,24;149492,4;99,03;;0;17,3;100;95,39;179961,7;98,62;;0;17,4;100;79,27;149538,3;99,02;;0;0;267,4;29,91;56420,6;23,63;;0;-17,3;100;93,27;175957,1;98,92;;0;0;267,4;46,74;88181,3;39,09
