Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;42,9;100;373009,32;158172,8;96,44;;0;-38,1;100;379352,72;160862,7;97,48;;0;47,9;100;363202;154014,1;93,62;;0;-47,9;100;365985,93;155194,6;94,39;;0;47,9;100;363252,25;154035,4;93,48;;;;;;;;;0;61,6;100;54431,48;23081,4;13,99
0;41,7;100;374263,95;158704,8;96,73;;0;-36,9;100;380905,58;161521,2;97,62;;0;46,9;100;366662,4;155481,4;94,53;;0;-46,9;100;368457,95;156242,8;95,07;;0;47;100;366385,49;155364;94,3;;;;;;;;;0;61;100;57259,6;24280,7;14,78
0;40,5;100;375059,79;159042,3;97,07;;0;-35,6;100;381453,73;161753,6;98,09;;0;45,9;100;368953,74;156453,1;95,19;;0;-46;100;371121,47;157372,3;95,67;;0;46;100;369171,18;156545,3;95,01;;;;;;;;;0;60,4;100;60556,36;25678,6;15,57
0;39,3;100;375757,18;159338;97,24;;0;-34,4;100;382058,45;162010,1;98,51;;0;45;100;370865,99;157263,9;95,64;;0;-44,9;100;371497,37;157531,7;96,04;;0;45;100;371007,09;157323,8;95,46;;;;;;;;;0;60;100;63894,81;27094,3;16,53
0;38,1;100;376308,62;159571,9;97,47;;0;-33,2;100;383962,42;162817,4;98,52;;0;43,9;100;372331,8;157885,5;96,04;;0;-43,9;100;374904,03;158976,3;96,66;;0;43,9;100;372693,23;158038,8;95,9;;;;;;;;;0;59,5;100;69035,59;29274,2;17,75
0;36,9;100;377823,06;160214,1;97,78;;0;-31,9;100;384993,58;163254,7;98,49;;0;42,9;100;373332,01;158309,7;96,33;;0;-42,9;100;376850,78;159801,8;97,01;;0;42,9;100;374111,95;158640,4;96,25;;;;;;;;;0;58,9;100;75970,89;32215,1;19,65
0;35,7;100;379803,12;161053,7;98,08;;0;-30,7;100;384610,6;163092,3;99,02;;0;41,9;100;374884,42;158967,9;96,73;;0;-41,9;100;376815,15;159786,7;97,26;;0;41,9;100;375274,1;159133,2;96,5;;;;;;;;;0;58,5;100;83534,61;35422,5;21,51
0;34,5;100;379833,82;161066,7;98,28;;0;-29,4;100;385564,6;163496,8;99;;0;40,9;100;375445,85;159206;96,9;;0;-40,9;100;377319,39;160000,5;97,44;;0;41;100;375958,04;159423,2;96,7;;;;;;;;;0;57,9;100;94939,87;40258,8;24,6
0;33,3;100;381300,24;161688,5;98,71;;0;-28,3;100;386112,35;163729,1;99,34;;0;39,9;100;376432,36;159624,3;97,06;;0;-40;100;378385,8;160452,7;97,64;;0;40,1;100;376805,98;159782,8;96,9;;;;;;;;;0;57,4;100;109959,94;46628;28,41
0;32,1;100;382531;162210,4;99,02;;0;-27;100;386995,91;164103,8;99,51;;0;38,9;100;377058,18;159889,7;97,25;;0;-38,8;100;379181,8;160790,2;97,91;;0;38,9;100;377978,43;160279,9;97,24;;;;;;;;;0;57;100;125875,43;53376,9;32,2
0;30,9;100;382895,88;162365,2;99,16;;0;-25,9;100;388108,68;164575,6;99,72;;0;37,9;100;379018,73;160721,1;97,67;;0;-38;100;380053,63;161159,9;98,03;;0;38;100;378754,47;160609;97,43;;;;;;;;;0;56,4;100;145000,9;61486,9;37,6
0;29,7;100;383618,24;162671,5;99,34;;0;-24,7;100;388303,59;164658,3;99,75;;0;36,9;100;379544,32;160944;97,91;;0;-36,9;100;381054,39;161584,3;98,24;;0;37;100;379547,58;160945,3;97,61;;;;;;;;;0;55,9;100;163544,42;69350,2;42,03
0;28,5;100;384570,06;163075,1;99,55;;0;-23,4;100;388490,92;164737,7;100,02;;0;35,9;100;380096,31;161178;98,05;;0;-35,9;100;381154,73;161626,8;98,51;;0;35,9;100;380496,3;161347,6;97,85;;;;;;;;;0;55,4;100;185141,05;78508,2;47,49
0;27,3;100;384691,69;163126,7;99,63;;0;-22,2;100;388796,33;164867,2;99,78;;0;34,9;100;380756,5;161458;98,18;;0;-35;100;382382,27;162147,4;98,75;;0;35;100;380728,73;161446,2;97,95;;;;;;;;;0;55;100;199295,7;84510,4;51,29
0;26,1;100;385231,01;163355,4;99,75;;0;-21;100;386891,54;164059,5;99,82;;0;33,9;100;381972,34;161973,5;98,42;;0;-34;100;382551,98;162219,3;98,94;;0;33,9;100;381530,84;161786,3;98,11;;;;;;;;;0;54,4;100;224151,68;95050,4;57,79
0;24,9;100;384961,41;163241;99,74;;0;-19,8;100;388984,3;164946,9;99,78;;0;33;100;382555,03;162220,6;98,68;;0;-33;100;383887,59;162785,7;99,12;;0;32,9;100;382546,79;162217,1;98,37;;;;;;;;;0;53,9;100;245739,97;104204,9;63,14
0;23,7;100;386100,61;163724,1;99,87;;0;-18,6;100;390518,63;165597,6;100,34;;0;28;100;385594,51;163509,5;99,44;;0;-28;100;386643,52;163954,3;99,79;;0;28;100;385639,19;163528,5;99,18;;;;;;;;;0;53,4;100;265518,32;112591,8;68,14
0;22,5;100;386537,04;163909,2;99,97;;0;-17,4;100;387246,31;164209,9;99,81;;0;23;100;387389,94;164270,9;99,93;;0;-23;100;389439,88;165140,1;100,44;;0;23;100;387844,55;164463,6;99,75;;;;;;;;;0;52,9;100;283420,53;120183,1;73,15
0;21,3;100;386905,97;164065,6;100,15;;0;-16,1;100;387841,31;164462,3;99,73;;0;18;100;388279,42;164648;100,06;;0;-18;100;389258,35;165063,1;100,56;;0;18;100;388687,14;164820,9;100,02;;;;;;;;;0;52,4;100;301119,91;127688,5;77,31
0;20,1;100;386971,1;164093,2;100,24;;0;-14,9;100;389552,95;165188,1;99,93;;0;13,1;100;388053,34;164552,2;100,05;;0;-13;100;389598,28;165207,3;100,39;;0;13;100;389053,44;164976,3;100,11;;;;;;;;;0;51,9;100;316740,67;134312,4;81,45
0;18,9;100;387327,98;164244,6;100,19;;0;-13,7;100;389089,48;164991,5;99,98;;0;7,9;100;388679,13;164817,5;100,14;;0;-8;100;388219,01;164622,4;100,25;;0;8;100;388808,64;164872,4;100,03;;;;;;;;;0;51,5;100;329226,15;139606,8;84,64
0;17,6;100;387412,67;164280,5;100,25;;0;-12,5;100;387814,19;164450,8;100,02;;0;3;100;388129,52;164584,5;99,99;;0;-3;100;388140,84;164589,3;100,16;;0;3;100;388647,87;164804,3;100;;;;;;;;;0;50,9;100;339841,2;144108;87,35
0;16,4;100;387284,05;164225,9;100,34;;0;-11,3;100;388461,01;164725;99,99;;0;-2;100;388274,61;164646;100,01;;0;2;100;387303,35;164234,1;99,9;;0;-2;100;388821,85;164878;100;;;;;;;;;0;50,4;100;346590,74;146970,1;89,13
0;15,3;100;388073,58;164560,7;100,38;;0;-10,1;100;389227,19;165049,9;100,03;;0;-7,1;100;388538;164757,7;100,2;;0;7,1;100;388083,97;164565,2;100,17;;0;-7;100;388811,64;164873,7;100,02;;;;;;;;;0;49,9;100;352156,86;149330,4;90,7
0;14;100;388046,54;164549,3;100,45;;0;-8,8;100;388563,34;164768,4;99,59;;0;-12,1;100;389164,51;165023,3;100,37;;0;12,1;100;389083,52;164989;100,33;;0;-11,9;100;389356,26;165104,7;100,12;;;;;;;;;0;49,4;100;356085,03;150996,2;91,61
