Measurement time:; 04/09/2023 16:06:53;;;;;;Measurement time:; 04/09/2023 16:07:26;;;;
Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;
Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;
Controller:; CCU;;;;;;Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;;;Gantry angle:;0;;;;
Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;
Scan type:; Inline;;;;;;Scan type:; Inline;;;;
Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;
Wedge:; none;;;;;;Wedge:; none;;;;
;;;Inline X6 20cm;;;;;;;Inline X6 3cm;;
Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio 1;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
27,7;0;200;70,81;92870,4;98,39;;-27,8;0;30;180,01;236103,2;100,69
28,9;0;200;70,48;92438,9;98,18;;-29;0;30;180,21;236362,1;100,83
30,1;0;200;70,67;92685,1;98,14;;-30,2;0;30;179,85;235888,6;100,68
31,3;0;200;70,4;92331,8;97,97;;-31,3;0;30;179,94;236009,6;100,81
32,5;0;200;70,31;92217,6;97,83;;-32,6;0;30;179,79;235814,5;100,58
33,7;0;200;70;91808,1;97,41;;-33,7;0;30;179,76;235765,4;100,68
34,9;0;200;69,89;91669;97,36;;-35;0;30;179,25;235103,1;100,39
36,1;0;200;69,86;91627,3;97,29;;-36,2;0;30;179,66;235633,1;100,45
37,3;0;200;69,54;91203;96,8;;-37,4;0;30;179,46;235374,3;100,53
38,6;0;200;69,39;91011;96,56;;-38,6;0;30;179,03;234817,3;100,21
39,8;0;200;69,2;90763,8;96,13;;-39,8;0;30;179,12;234927,9;100,08
41;0;200;69,07;90586,4;95,88;;-41;0;30;178,15;233663,2;99,86
42,2;0;200;68,69;90091,1;95,45;;-42,2;0;30;177,99;233450,2;99,56
43,4;0;200;68,29;89566,4;95,09;;-43,4;0;30;176,76;231834,5;99,08
44,6;0;200;68,31;89591,4;95,16;;-44,6;0;30;175,2;229789;98,02
45,8;0;200;68,1;89323,1;94,86;;-45,8;0;30;172,49;226238,9;96,58
47;0;200;67,66;88746,3;94,31;;-47;0;30;166,06;217802,7;93,11
48,2;0;200;66,97;87843,3;93,39;;-48,3;0;30;153,96;201930,4;85,89
49,4;0;200;67,07;87964,5;93,24;;-49,5;0;30;135,52;177748;75,65
50,7;0;200;66,55;87285,5;92,61;;-50,7;0;30;111,74;146553,2;62,47
51,8;0;200;66;86562;91,7;;-51,9;0;30;87,12;114267,5;48,86
53,1;0;200;64,84;85047,4;90,27;;-53,1;0;30;64,35;84402,4;36,2
54,3;0;200;63,41;83172,5;88,09;;-54,3;0;30;46,03;60376;26,08
55,5;0;200;61,02;80037,5;84,54;;-55,5;0;30;32,74;42943,9;18,58
56,7;0;200;57,17;74977,1;79,5;;-56,7;0;30;23,97;31444,6;13,59
57,9;0;200;52,22;68486,7;72,39;;-57,9;0;30;19,32;25336,3;10,92
59,1;0;200;45,46;59619,3;63,11;;-59,2;0;30;16,72;21923,5;9,42
60,3;0;200;38,01;49849,7;52,85;;-60,4;0;30;15,04;19728,2;8,44
61,5;0;200;30,38;39850,4;42,4;;-61,5;0;30;13,92;18254,6;7,8
62,7;0;200;23,57;30914,6;33,07;;-62,8;0;30;13,13;17223,7;7,35
63,9;0;200;18,93;24825,8;26,51;;-64;0;30;12,45;16331,1;6,99
65,2;0;200;15,65;20528,8;21,97;;-65,2;0;30;11,9;15609,5;6,65
66,4;0;200;13,92;18258,5;19,41;;-66,4;0;30;11,35;14890;6,37
67,6;0;200;12,89;16901,5;17,99;;-67,6;0;30;11,1;14565;6,21
68,8;0;200;12,19;15984,6;17;;-68,8;0;30;10,68;14009;5,99
70;0;200;11,57;15170,6;16,13;;-70;0;30;10,35;13569,6;5,79
71,2;0;200;11,07;14516;15,39;;-71,2;0;30;9,91;12995,3;5,54
72,4;0;200;10,8;14162;14,98;;-72,4;0;30;9,62;12622,5;5,39
73,6;0;200;10,39;13633,9;14,49;;-73,6;0;30;9,36;12281,6;5,23
74,9;0;200;10,16;13324,3;14,11;;-74,9;0;30;8,91;11692,5;5
76,1;0;200;9,85;12920;13,69;;-76;0;30;8,7;11413,4;4,86
77,3;0;200;9,62;12613,5;13,37;;-77,3;0;30;8,31;10901,8;4,67
78,5;0;200;9,35;12263,1;13,03;;-78,5;0;30;8,18;10725,6;4,57
80;0;200;9,02;11833,6;12,55;;-80;0;30;7,88;10338,3;4,41
