;;;Inline 10;;;;;;;Crossline 10;;;;;;;Rendement 10;;;;;;;Inline 3;;;;;;;Crossline 3;;;;;;;Rendement 3;;
Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
34,5;0;100;117660,29;160075,4;97,78;;0;-34,9;100;118663,74;161440,6;98,46;;0;0;264,9;48062,84;65388,9;26,33;;35;0;100;3417,92;4650;3,45;;0;-35;100;3013,54;4099,9;3,04;;0;0;265;35870,37;48801,2;21,79
33,3;0;100;117907,35;160411,5;98,16;;0;-33,7;100;118756,35;161566,6;98,72;;0;0;263,7;48525,08;66017,8;26,57;;33,8;0;100;3533,86;4807,8;3,58;;0;-33,7;100;3347,65;4554,4;3,38;;0;0;263,8;36200,87;49250,9;21,93
32;0;100;117972,23;160499,8;98,09;;0;-32,5;100;119066,46;161988,5;98,94;;0;0;262,4;48770,09;66351,1;26,73;;32,6;0;100;3900,82;5307;3,92;;0;-32,5;100;3500,77;4762,8;3,54;;0;0;262,6;36521,66;49687,3;22,16
30,8;0;100;118325,33;160980,2;98,54;;0;-31,2;100;119413,37;162460,5;99,19;;0;0;261,3;49085;66779,6;26,94;;31,4;0;100;3993,87;5433,6;4,04;;0;-31,3;100;3748,7;5100,1;3,78;;0;0;261,3;36920,81;50230,3;22,34
29,6;0;100;118494,7;161210,6;98,54;;0;-30;100;119281,79;162281,4;99,25;;0;0;260,1;49590,14;67466,8;27,21;;30,2;0;100;4296,25;5845;4,33;;0;-30,1;100;4065,9;5531,6;4,11;;0;0;260,1;36925,17;50236,3;22,41
28,4;0;100;118891,68;161750,7;98,86;;0;-28,8;100;119584,81;162693,7;99,15;;0;0;258,8;49741,28;67672,4;27,3;;29;0;100;4557,01;6199,8;4,6;;0;-28,9;100;4333,4;5895,5;4,37;;0;0;258,9;37428,28;50920,7;22,63
27,2;0;100;119112,19;162050,7;98,93;;0;-27,6;100;120049,44;163325,8;99,65;;0;0;257,7;49930,08;67929,3;27,4;;27,8;0;100;4904,36;6672,3;4,95;;0;-27,7;100;4673,26;6357,9;4,72;;0;0;257,7;37686,94;51272,6;22,8
26;0;100;119401,73;162444,6;99,23;;0;-26,4;100;120229,71;163571,1;99,82;;0;0;256,4;50620;68867,9;27,75;;26,5;0;100;5495,9;7477,1;5,56;;0;-26,5;100;5254,92;7149,3;5,3;;0;0;256,5;37816,47;51448,9;22,96
24,8;0;100;119166,14;162124,1;99,09;;0;-25,2;100;120471,95;163900,6;100,06;;0;0;255,2;50926,33;69284,7;27,92;;25,4;0;100;6188,61;8419,5;6,25;;0;-25,3;100;5980,47;8136,4;6,03;;0;0;255,3;37999,86;51698,4;23,03
23,6;0;100;119649,19;162781,3;99,36;;0;-24;100;120220,55;163558,6;99,83;;0;0;254,1;51011,69;69400,8;27,99;;24,2;0;100;7066,97;9614,5;7,13;;0;-24;100;6925;9421,4;7,01;;0;0;254,1;38241,09;52026,5;23,19
