Measurement time:; 02/09/2022 18:30:36;;;;
Radiation device:; Clinac3 Accelerator;;;;
Energy:; 6 MeV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
;;;;;
Measurement time:; 02/09/2022 18:34:57;;;;
Radiation device:; Clinac3 Accelerator;;;;
Energy:; 12 MeV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;150;1,04;2038,3;0,7
0;0;149,3;0,95;1863,1;0,95
0;0;147,9;0,97;1887,5;1
0;0;146,7;0,94;1839,7;0,95
0;0;145,6;0,97;1892,5;1
0;0;144,3;1,01;1983,2;1
0;0;143,1;0,95;1854,5;0,98
0;0;141,9;0,96;1873,7;0,96
0;0;140,7;0,99;1938,2;0,99
0;0;139,5;1,01;1977,1;1,01
0;0;138,3;1,03;2023,8;1,04
0;0;137,1;1,04;2038,4;1,05
0;0;135,9;1,07;2098,8;1,08
0;0;134,7;1,05;2059,5;1,05
0;0;133,5;1,04;2033,7;1,05
0;0;132,3;1,06;2064;1,09
0;0;131,1;1,14;2236,3;1,14
0;0;129,9;1,09;2131,7;1,1
0;0;128,7;1,09;2135,5;1,13
0;0;127,5;1,18;2306,9;1,17
0;0;126,3;1,13;2205,2;1,14
0;0;125,1;1,14;2220,6;1,18
0;0;123,9;1,15;2247,8;1,14
0;0;122,7;1,2;2340,9;1,2
0;0;121,5;1,11;2180,2;1,17
0;0;120,3;1,17;2285,3;1,17
0;0;119,1;1,17;2280,7;1,17
0;0;117,9;1,19;2331,2;1,2
0;0;116,7;1,2;2351,8;1,22
0;0;115,5;1,21;2374,7;1,23
0;0;114,3;1,24;2423,1;1,26
0;0;113,1;1,22;2393,2;1,24
0;0;111,9;1,21;2372,1;1,23
0;0;110,7;1,26;2464,1;1,28
0;0;109,5;1,25;2448,3;1,27
0;0;108,3;1,23;2403,2;1,24
0;0;107,1;1,29;2523,7;1,3
0;0;105,9;1,29;2526,6;1,3
0;0;104,7;1,33;2598,1;1,34
0;0;103,5;1,32;2577,6;1,33
0;0;102,3;1,36;2658,6;1,36
0;0;101,1;1,36;2657;1,38
0;0;99,9;1,34;2613,5;1,35
0;0;98,7;1,31;2570,5;1,39
0;0;97,5;1,39;2726,6;1,41
0;0;96,3;1,42;2774,4;1,43
0;0;95,1;1,44;2822,9;1,45
0;0;93,9;1,43;2792,5;1,45
0;0;92,7;1,41;2749,4;1,48
0;0;91,5;1,46;2854,8;1,46
0;0;90,3;1,48;2896,9;1,5
0;0;89,1;1,42;2786;1,49
0;0;87,9;1,45;2834,8;1,53
0;0;86,6;1,54;3003,9;1,56
0;0;85,4;1,47;2872,1;1,53
0;0;84,2;1,57;3073,7;1,58
0;0;83;1,59;3104,1;1,61
0;0;81,8;1,59;3111,7;1,61
0;0;80,6;1,5;2937,7;1,6
0;0;79,4;1,63;3177,8;1,63
0;0;78,2;1,59;3100,3;1,62
0;0;77;1,62;3167,6;1,64
0;0;75,8;1,63;3180,1;1,67
0;0;74,6;1,66;3250,7;1,7
0;0;73,4;1,7;3332,9;1,75
0;0;72,2;1,73;3377,6;1,77
0;0;71;1,73;3387,7;1,78
0;0;69,7;1,8;3516,1;1,83
0;0;68,5;1,9;3716,1;1,94
0;0;67,3;2,14;4188,2;2,18
0;0;66,1;2,48;4852,6;2,54
0;0;64,9;3,07;6009,5;3,14
0;0;63,7;4,08;7978,7;4,1
0;0;62,5;5,28;10318,5;5,6
0;0;61,3;7,06;13804,1;7,36
0;0;60,1;9,76;19088,6;10,02
0;0;58,9;13,05;25517,2;13,06
0;0;57,7;15,99;31270,9;16,66
0;0;56,5;20,43;39943,1;20,85
0;0;55,3;25,44;49743,5;25,6
0;0;54,1;30,58;59799,4;30,83
0;0;52,9;36,02;70431,6;36,1
0;0;51,7;39,18;76612,7;41,68
0;0;50,5;47,15;92197,7;47,68
0;0;49,3;52,37;102412,4;53,21
0;0;48,1;58,01;113434,2;58,65
0;0;46,9;63,22;123622;64,29
0;0;45,7;68,06;133091,5;69,1
0;0;44,5;74,31;145322,1;74,18
0;0;43,2;78,39;153290,1;78,37
0;0;42,1;82,87;162062,6;82,39
0;0;40,8;87,66;171421,8;86,1
0;0;39,6;87,68;171462,3;88,93
0;0;38,4;92,85;181574,5;91,73
0;0;37,2;96,83;189347,2;94,06
0;0;36;99,41;194409,3;95,76
0;0;34,8;96,08;187892,1;97,1
0;0;33,6;101,53;198537,3;98,33
0;0;32,4;103,36;202126,6;99,1
0;0;31,2;104,12;203602,4;99,65
0;0;30;99,52;194620,3;99,92
0;0;28,8;104,46;204270,3;100
0;0;27,6;103,94;203264,3;99,98
0;0;26,4;104,41;204184,6;99,75
0;0;25,2;103,71;202800,6;99,29
0;0;24;102,16;199783;98,81
0;0;22,8;102,02;199501,4;98,5
0;0;21,5;103,79;202962,3;97,91
0;0;20,3;99,71;194982,6;97,16
