Measurement time:; 02/09/2022 18:30:36;;;;
Radiation device:; Clinac3 Accelerator;;;;
Energy:; 6 MeV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;147,6;3,16;6180,6;3,32
0;0;146,6;3,31;6472,8;3,35
0;0;145,3;3,03;5917,1;3,3
0;0;144,1;3,11;6088,8;3,34
0;0;142,9;3,24;6331,8;3,43
0;0;141,7;3,16;6182,2;3,42
0;0;140,5;3,4;6640,7;3,46
0;0;139,3;3,12;6106,8;3,44
0;0;138,1;3,26;6382,7;3,48
0;0;136,9;3,29;6441,8;3,56
0;0;135,7;3,34;6538,7;3,53
0;0;134,5;3,54;6918,9;3,61
0;0;133,3;3,29;6439,1;3,59
0;0;132,1;3,37;6597,4;3,62
0;0;130,9;3,35;6548,2;3,63
0;0;129,7;3,56;6962,5;3,71
0;0;128,5;3,64;7121,8;3,69
0;0;127,3;3,46;6765,8;3,75
0;0;126,1;3,39;6632,5;3,72
0;0;124,9;3,46;6762,7;3,76
0;0;123,7;3,54;6925,6;3,75
0;0;122,4;3,63;7103,8;3,77
0;0;121,3;3,47;6793,4;3,81
0;0;120;3,64;7118,8;3,9
0;0;118,8;3,64;7113,3;3,97
0;0;117,7;3,82;7478,9;3,9
0;0;116,4;3,88;7583,8;3,94
0;0;115,2;3,63;7107,8;3,97
0;0;114;3,72;7264,9;4,04
0;0;112,8;3,68;7200,1;4,02
0;0;111,6;3,93;7679;4,06
0;0;110,4;3,99;7802,8;4,09
0;0;109,2;3,67;7171,3;4,03
0;0;108;3,69;7221,2;4,08
0;0;106,8;3,89;7599,8;4,26
0;0;105,6;4,08;7986,4;4,24
0;0;104,4;4,12;8060,8;4,26
0;0;103,2;3,93;7679,4;4,34
0;0;102;3,97;7770,8;4,4
0;0;100,8;4,12;8052,6;4,53
0;0;99,6;4,47;8732,6;4,64
0;0;98,4;4,74;9278,4;4,91
0;0;97,2;4,72;9239,5;5,35
0;0;96;5,34;10445,1;5,77
0;0;94,8;5,76;11267,7;6,37
0;0;93,6;7,05;13791,2;7,31
0;0;92,4;8,17;15970,4;8,36
0;0;91,2;8,8;17202,5;9,77
0;0;90;10,33;20202,1;11,41
0;0;88,8;11,97;23404,6;13,11
0;0;87,6;15,07;29474,6;15,53
0;0;86,3;17,46;34138,7;17,88
0;0;85,2;17,93;35066,4;20,64
0;0;83,9;22,59;44168,1;23,49
0;0;82,7;23,97;46877,2;26,45
0;0;81,5;29,56;57807,5;29,93
0;0;80,3;33,29;65091,9;33,78
0;0;79,1;31,9;62383,3;36,8
0;0;77,9;39,6;77444,8;40,92
0;0;76,7;40,36;78918,1;44,06
0;0;75,5;47,31;92524,9;47,75
0;0;74,3;51,62;100945,7;51,74
0;0;73,1;50,78;99302,2;55,21
0;0;71,9;54,13;105858,7;58,81
0;0;70,7;57,6;112642,3;61,96
0;0;69,5;64,63;126388,4;65,13
0;0;68,2;68,22;133413;68,67
0;0;67,1;66,56;130153,4;71,4
0;0;65,8;68,23;133423,7;73,94
0;0;64,6;71,34;139500,6;76,46
0;0;63,4;78,77;154044,6;78,64
0;0;62,2;82,03;160415,4;81,29
0;0;61;77,73;152006,5;83,4
0;0;59,8;79,66;155780,7;85,07
0;0;58,6;84,89;166013,2;87,08
0;0;57,4;86,21;168578;88,22
0;0;56,2;91,24;178431,2;90,15
0;0;55;85,92;168019,2;91,36
0;0;53,8;87,73;171567,4;92,51
0;0;52,6;88,08;172253,6;93,15
0;0;51,4;96,71;189127,9;94,31
0;0;50,2;97,67;190988,5;95,2
0;0;49;92,11;180116,9;96,05
0;0;47,7;91,88;179680,1;96,59
0;0;46,6;92,97;181799,3;97,24
0;0;45,3;101,49;198469,2;97,56
0;0;44,1;101,56;198604,3;97,93
0;0;42,9;88,91;173874;98,43
0;0;41,7;101,79;199063,8;98,55
0;0;40,5;96,02;187774,2;98,91
0;0;39,3;103,31;202024,2;99,06
0;0;38,1;103,91;203192,4;99,25
0;0;36,9;90,56;177099,1;99,37
0;0;35,7;103,95;203274,4;99,42
0;0;34,5;96,75;189196,3;99,6
0;0;33,3;104,35;204055,9;99,86
0;0;32,1;101,74;198960,4;99,67
0;0;30,8;99,38;194347,7;99,89
0;0;29,6;99,38;194341,2;99,95
0;0;28,5;97,73;191124,8;100
0;0;27,2;105,43;206172,8;99,9
0;0;26;100,75;197012,4;99,88
0;0;24,8;100,97;197451,1;99,93
0;0;23,6;100,07;195689,4;99,98
0;0;22,4;98,86;193316,7;99,65
0;0;21,2;105,76;206815,2;99,6
0;0;20;102,5;200450,5;99,56
0;0;18,8;99,76;195083,6;99,79
0;0;17,6;101,56;198607,5;99,53
0;0;16,4;98,76;193130,8;99,39
0;0;15,2;107,08;209392,8;99,07
0;0;13,9;100,89;197294,5;99,33
0;0;12,7;95,99;187705,1;99,19
0;0;11,5;105,89;207080,4;98,81
0;0;10,4;99,26;194116,7;98,91
0;0;9,1;105,1;205533,6;98,49
0;0;7,9;100,3;196135,8;98,3
0;0;6,7;97,95;191537,6;97,98
0;0;5,5;102,08;199622,2;97,41
0;0;4,3;95,97;187680,2;96,67
0;0;3,1;103,17;201747,8;95,77
0;0;1,9;96,21;188140,8;94,54
0;0;0,7;94,18;184180,9;93,78
0;0;-0,5;94,68;185144;93,22
;;;;;
