Measurement time:; 02/08/2022 19:59:54;;;;
Radiation device:; Novalis TB Accelerator;;;;
Energy:; 6 MV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;70,6;133,11;193250,1;77,56
0;0;69,3;134,08;194651,6;78,14
0;0;68,2;134,76;195644,1;78,41
0;0;66,9;135,62;196889,2;78,78
0;0;65,7;136,37;197985,3;79,36
0;0;64,5;137,26;199274,4;79,84
0;0;63,3;138,01;200355,7;80,41
0;0;62,1;139,17;202040;81,05
0;0;60,9;139,89;203095;81,56
0;0;59,7;140,75;204331,7;81,97
0;0;58,5;141,57;205527,5;82,23
0;0;57,3;142,46;206826,9;82,84
0;0;56,1;143,25;207967,5;83,21
0;0;54,9;144,28;209465,1;84,11
0;0;53,7;145,27;210902,9;84,54
0;0;52,4;145,99;211945,5;84,95
0;0;51,2;147,02;213442,1;85,43
0;0;50;147,54;214191,4;85,93
0;0;48,8;148,65;215813,2;86,38
0;0;47,6;149,43;216936,6;86,9
0;0;46,4;150,36;218287,7;87,5
0;0;45,2;151,51;219966,9;88,3
0;0;44;152,18;220929,3;88,57
0;0;42,8;152,99;222110,7;88,95
0;0;41,6;153,8;223290;89,42
0;0;40,4;154,85;224802,1;90,09
0;0;39,2;155,37;225569,1;90,44
0;0;38;156,65;227420,7;90,93
0;0;36,8;157,58;228765,7;91,6
0;0;35,6;158,22;229697,3;92,08
0;0;34,4;159,13;231016,3;92,56
0;0;33,2;159,99;232266,4;93,12
0;0;31,9;161,13;233922,3;93,75
0;0;30,7;161,59;234599,8;94,06
0;0;29,5;162,66;236144,5;94,61
0;0;28,3;163,73;237700,9;95,11
0;0;27,1;164,46;238763,4;95,86
0;0;25,9;165,55;240343,3;96,37
0;0;24,7;166,05;241071,7;96,55
0;0;23,5;166,94;242355;96,92
0;0;22,3;168,07;243994,7;97,84
0;0;21,1;169;245357,1;98,53
0;0;19,9;169,57;246183,8;98,76
0;0;18,6;170,16;247039,7;98,94
0;0;17,5;170,66;247760,6;99,46
0;0;16,3;171,42;248859,7;99,83
0;0;15;171,85;249495,2;100
0;0;13,8;171,71;249279,2;99,89
0;0;12,6;171,41;248847,4;99,83
0;0;11,4;170,57;247634,2;99,35
0;0;10,2;169,23;245687,1;98,44
0;0;9;166,83;242200,6;97,14
0;0;7,8;163,49;237352,5;95,12
0;0;6,6;158,18;229640,6;92,08
0;0;5,4;151,17;219472,1;87,82
0;0;4,2;141,14;204899,7;82,02
0;0;2,9;123,89;179867,1;72,25
0;0;1,8;106,67;154861,2;62,09
0;0;0,5;94,37;137009;54,83
0;0;-0,5;87,75;127391,6;51,08
;;;;;
;;;;;
Measurement time:; 02/08/2022 20:01:19;;;;
Radiation device:; Novalis TB Accelerator;;;;
Energy:; 6 MV (FFF);;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;306,6;111,74;162225,7;18,59
0;0;305,3;112,81;163771,1;18,72
0;0;304,1;113,2;164342,4;18,82
0;0;302,9;113,96;165444,8;18,96
0;0;301,7;114,83;166714,3;19,1
0;0;300,5;115,65;167901,9;19,23
0;0;299,3;116,57;169227,8;19,38
0;0;298,1;117,21;170159,3;19,48
0;0;296,9;117,93;171215,8;19,6
0;0;295,7;118,78;172437,6;19,73
0;0;294,5;119,35;173272,6;19,86
0;0;293,3;120,56;175029,7;20
0;0;292,1;121,35;176170,3;20,13
0;0;290,9;122,01;177133,4;20,25
0;0;289,7;122,91;178443,7;20,43
0;0;288,5;123,6;179440,1;20,58
0;0;287,3;124,86;181266,2;20,7
0;0;286,1;125,49;182183,3;20,9
0;0;284,9;126,62;183820,8;21,02
0;0;283,7;127,09;184510,2;21,15
0;0;282,4;128,22;186151,4;21,31
0;0;281,2;129,09;187406,6;21,43
0;0;280;129,92;188617,8;21,6
0;0;278,8;130,73;189794,5;21,72
0;0;277,6;131,71;191216;21,89
0;0;276,4;132,78;192775,1;22,07
0;0;275,2;133,83;194292,6;22,21
0;0;274;134,77;195654,4;22,36
0;0;272,8;135,38;196545,3;22,53
0;0;271,6;136,33;197921,6;22,66
0;0;270,4;137,47;199570,4;22,81
0;0;269,2;138,41;200937,5;23
0;0;268;139,34;202291,2;23,13
0;0;266,8;140,54;204039,6;23,33
0;0;265,6;141,23;205030,8;23,47
0;0;264,4;142,48;206843,9;23,65
0;0;263,2;143,55;208406;23,85
0;0;262;144,26;209438,6;23,99
0;0;260,8;145,4;211087,9;24,14
0;0;259,6;146,29;212379,4;24,31
0;0;258,4;147,3;213853,5;24,49
0;0;257,2;148,48;215554,3;24,64
0;0;256;149,66;217276,2;24,86
0;0;254,8;150,54;218553,8;24,99
0;0;253,5;151,77;220343,2;25,22
0;0;252,3;153,04;222184,4;25,38
0;0;251,2;153,9;223426,4;25,53
0;0;249,9;154,77;224688,3;25,74
0;0;248,7;155,78;226158,8;25,9
0;0;247,5;157,1;228081,8;26,07
0;0;246,3;158,43;230003,4;26,25
0;0;245,1;159,22;231152,8;26,47
0;0;243,9;160,09;232420,3;26,65
0;0;242,7;161,48;234437,2;26,78
0;0;241,5;163,37;237180;27,08
0;0;240,3;163,54;237423;27,23
0;0;239,1;164,98;239511,4;27,41
0;0;237,9;166,77;242109,3;27,6
0;0;236,7;166,94;242359,6;27,79
0;0;235,5;168,9;245208;28,03
0;0;234,3;169,91;246672;28,24
0;0;233,1;170,86;248055,7;28,41
0;0;231,9;172,35;250210,4;28,56
0;0;230,7;173,14;251360,6;28,81
0;0;229,5;174,85;253841,7;29,03
0;0;228,3;176,13;255705,6;29,26
