 Crossline;Ratio;;Inline;Ratio;; Depth;Ratio
;;;;;;0,8;65,03
;;;;;;0,7;65,28
;;;;;;0,6;65,37
;;;;;;0,5;65,41
;;;;;;0,4;65,39
;;;;;;0,3;65,42
;;;;;;0,2;65,6
;;;;;;0,1;65,52
;;;;;;0;65,7
;;;;;;-0,1;65,53
;;;;;;-0,2;65,49
;;;;;;-0,3;65,51
;;;;;;-0,5;65,59
