 Crossline; Ratio 1s 0,5cm;; Crossline; Ratio 2s 0,01cm;; Crossline; Ratio 0,1s 0,01cm;; Crossline; Ratio Continu 2,5 cm/s;; Crossline; Ratio Continu 1 cm/s;; Crossline; Ratio Continu 0,5 cm/s;; Crossline; Ratio Continu 0,3 cm/s
;;;6,5;21,7;;-6,6;18,56;;;;;;;;;;;;
;;;6,8;17,6;;-6,7;16,49;;;;;;;;;;;;
;;;6,8;17,91;;-6,7;16,41;;;;;;;;;;;;
;;;6,9;15,83;;-6,9;14,73;;;;;;;;;;;;
;;;6,9;15,79;;-6,9;14,45;;;;;;;;;;;;
;;;7,1;13,84;;-7,1;12,33;;;;;;;;;;;;
;;;7,2;13,05;;-7,2;12,1;;;;;;;;;;;;
;;;7,3;11,71;;-7,2;11,68;;;;;;;;;;;;
;;;7,4;11,56;;-7,3;10,88;;;;;;;;;;;;
;;;7,4;10,73;;-7,5;10,02;;;;;;;;;;;;
;;;7,6;9,68;;-7,5;9,63;;;;;;;;;;;;
;;;7,7;9,39;;-7,7;8,71;;;;;;;;;;;;
;;;7,7;8,82;;-7,8;8,26;;;;;;;;;;;;
;;;7,8;8,29;;-8;7,6;;;;;;;;;;;;
;;;8;7,26;;-7,9;7,61;;;;;;;;;;;;
;;;8,1;7,39;;-8,1;6,8;;;;;;;;;;;;
;;;8,1;7,16;;-8,1;6,76;;;;;;;;;;;;
;;;8,4;6,23;;-8,4;6,34;;;;;;;;;;;;
;;;8,4;6,27;;-8,3;6,17;;;;;;;;;;;;
;;;8,4;6,18;;-8,5;5,81;;;;;;;;;;;;
;;;8,6;5,8;;-8,5;5,61;;;;;;;;;;;;
;;;8,7;5,32;;-8,8;5,31;;;;;;;;;;;;
;;;8,8;5,27;;-8,8;4,87;;;;;;;;;;;;
;;;9;4,91;;-8,9;4,86;;;;;;;;;;;;
;;;8,9;4,85;;-9;4,65;;;;;;;;;;;;
;;;9,2;4,38;;-9,2;4,19;;;;;;;;;;;;
;;;9,1;4,45;;-9,2;4,2;;;;;;;;;;;;
;;;9,2;4,31;;-9,2;4,18;;;;;;;;;;;;
;;;9,4;3,91;;-9,5;3,66;;;;;;;;;;;;
;;;9,4;4,02;;-9,5;3,76;;;;;;;;;;;;
;;;9,5;3,86;;-9,5;3,74;;;;;;;;;;;;
;;;9,7;3,74;;-9,6;3,62;;;;;;;;;;;;
;;;9,8;3,53;;-9,8;3,46;;;;;;;;;;;;
;;;9,8;3,49;;-9,8;3,35;;;;;;;;;;;;
;;;10;3,33;;-10;3,17;;;;;;;;;;;;
