 Crossline; Ratio;;Inline; Ratio;; Depth; Ratio
1,9;99,65;;-1,8;99,69;;6,6;93,68
1,9;99,67;;-1,8;99,45;;6,5;93,58
1,7;99,57;;-1,8;99,6;;6,4;93,05
1,6;99,83;;-1,6;99,53;;6,3;92,8
1,5;99,72;;-1,5;99,43;;6,2;92,57
1,4;99,45;;-1,5;99,71;;6,1;92,4
1,3;99,65;;-1,3;99,53;;6;91,93
1,3;99,49;;-1,2;99,51;;5,9;91,74
1,1;99,69;;-1,2;99,6;;5,8;91,37
1,1;99,53;;-1,1;99,6;;5,7;91,13
0,9;99,54;;-0,8;99,59;;5,6;90,81
0,7;99,78;;-0,8;99,53;;5,5;90,29
0,8;99,61;;-0,8;99,56;;5,4;89,9
0,6;99,67;;-0,6;99,55;;5,3;89,5
0,5;99,68;;-0,4;99,53;;5,2;89,31
0,4;99,69;;-0,4;99,53;;5,1;88,83
0,4;99,6;;-0,3;99,78;;5;88,5
0,3;99,43;;-0,3;99,71;;4,9;87,91
0,1;99,53;;-0,1;99,68;;4,8;87,48
0;99,59;;0;99,54;;4,7;87,11
-0,2;99,63;;0,1;99,69;;4,6;86,78
-0,2;99,66;;0,2;99,51;;4,5;86,18
-0,3;99,65;;0,2;99,59;;4,4;85,68
-0,3;99,58;;0,4;99,6;;4,3;85,15
-0,4;99,65;;0,4;99,47;;4,2;84,64
-0,5;99,54;;0,6;99,44;;4,1;84,17
-0,7;99,69;;0,7;99,53;;4;83,62
-0,7;99,54;;0,7;99,52;;3,9;82,95
-0,8;99,59;;0,9;99,5;;3,8;82,36
-0,9;99,67;;0,9;99,49;;3,7;81,73
-1,1;99,49;;1,1;99,51;;3,7;81,4
-1,2;99,48;;1,1;99,69;;3,5;80,48
-1,2;99,67;;1,3;99,43;;3,4;79,84
-1,4;99,43;;1,3;99,61;;3,3;79,1
-1,4;99,49;;1,5;99,55;;3,2;78,29
-1,6;99,54;;1,6;99,62;;3,1;77,61
-1,7;99,77;;1,6;99,45;;3;76,78
-1,9;99,43;;1,8;99,57;;2,9;76,16
-1,9;99,57;;1,8;99,41;;2,8;75,15
-1,9;99,76;;2;99,6;;2,7;74,46
-2,1;99,54;;2,1;99,63;;2,6;73,25
-2,1;99,48;;2,2;99,52;;2,5;72,49
-2,2;99,55;;2,4;99,55;;2,4;71,59
-2,4;99,43;;2,4;99,51;;2,3;70,01
-2,4;99,47;;2,5;99,44;;2,2;69,13
-2,5;99,58;;2,6;99,36;;2,1;68,11
-2,6;99,43;;2,6;99,4;;2;66,89
-2,8;99,5;;2,8;99,33;;1,9;65,51
-2,9;99,42;;2,9;99,39;;1,8;64,51
-3;99,37;;3;99,45;;1,7;62,8
-3;99,24;;3,1;99,41;;1,6;61,15
-3,1;99,42;;3,2;99,19;;1,5;59,67
-3,3;99,35;;3,2;99,5;;1,4;58,12
-3,5;99,28;;3,5;99,39;;1,3;56,45
-3,5;99,47;;3,5;99,23;;1,2;54,88
-3,5;99,3;;3,5;99,34;;1,1;54,56
-3,6;99,3;;3,7;99,23;;1;54,45
-3,8;99,4;;3,8;99,18;;0,9;54,45
-3,9;99,27;;4;99,16;;0,8;54,66
-4,1;99,11;;4;99,14;;0,6;54,68
-4,1;99,09;;4,1;99,12;;0,6;54,78
-4,2;99,34;;4,2;99,1;;0,5;54,89
-4,3;99,17;;4,3;99,31;;0,4;54,96
-4,4;99,25;;4,3;99,11;;0,3;54,96
-4,5;99,28;;4,5;99,18;;0,2;54,85
-4,6;99,15;;4,6;99,08;;0,1;54,94
-4,6;99,18;;4,7;99;;0;55
-4,7;99,11;;4,9;98,98;;-0,1;54,92
-4,9;99,13;;4,9;99,02;;-0,2;54,98
-5;99,03;;5;98,98;;-0,3;54,9
-5,1;99,19;;5,1;98,94;;-0,5;54,96
-5,2;98,98;;5,1;98,85;;;
-5,3;99,08;;5,3;98,97;;;
-5,5;99,08;;5,3;98,69;;;
